Date,Pressão Sucção,Pressão_Descarga,Sensor4,Temperatura Ambiente,Estator,V_Z,V_X,TEMP_MB,TENSAO,CORRENTE,RPM_MOTOR,STATUS_INV
2024-11-11 13:25:56,-0.033,0.006,,30.6,29.7,,,,,,,
2024-11-11 13:26:56,-0.033,-0.009,,30.7,30.4,,,,380,5.05,1754,0
2024-11-11 13:27:56,-0.034,-0.015,,30.8,31.1,,,,380,,1999,
2024-11-11 13:28:53,-0.032,-0.014,,30.9,31.7,,,,0,0,0,0
2024-11-11 13:29:53,-0.031,-0.009,,30.8,31.7,,,,380,,1999,
2024-11-11 13:30:53,-0.032,0.007,,30.8,32.8,,,,111,6.51,471,0
2024-11-11 13:31:53,-0.032,-0.012,,30.8,32.8,,,,0,0,0,0
2024-11-11 13:32:53,-0.031,-0.015,,30.7,33,,,,0,0,0,0
2024-11-11 13:33:53,-0.032,-0.013,,30.7,33.1,,,,0,0,0,0
2024-11-11 13:34:54,-0.032,-0.013,,30.7,33.1,,,,0,0,0,0
2024-11-11 13:35:54,-0.032,-0.013,,30.8,33,,,,0,0,0,0
2024-11-11 13:36:54,-0.031,-0.013,,30.8,32.9,,,,0,0,0,0
2024-11-11 13:37:54,-0.054,-0.014,,30.8,33.1,,,,380,4.64,1999,4
2024-11-11 13:38:54,-0.118,-0.016,,30.7,34.1,,,,,4.49,1999,4
2024-11-11 13:39:54,-0.121,-0.014,,31,34.5,,,,380,4.46,1999,4
2024-11-11 13:40:55,-0.119,-0.012,,32.8,34.8,,,,380,4.43,1999,4
2024-11-11 13:40:58,-0.12,-0.014,,32.8,34.8,,,,380,4.43,1999,4
2024-11-11 13:41:01,-0.118,-0.013,,32.8,34.8,,,,,4.44,1999,4
2024-11-11 13:41:04,-0.117,-0.014,,32.8,34.7,,,,,4.44,1999,4
2024-11-11 13:41:07,-0.12,-0.014,,32.8,34.7,,,,380,4.44,1999,4
2024-11-11 13:41:10,-0.122,-0.013,,32.8,34.8,,,,380,4.46,1999,4
2024-11-11 13:41:13,-0.12,-0.013,,32.7,34.7,,,,380,4.46,1999,4
2024-11-11 13:41:16,-0.119,-0.014,,32.7,34.8,,,,380,4.46,1999,
2024-11-11 13:41:19,-0.119,-0.016,,32.7,34.8,,,,380,4.46,1999,
2024-11-11 13:41:22,-0.12,-0.016,,32.7,34.7,,,,380,4.46,1999,4
2024-11-11 13:41:25,-0.119,-0.014,,32.7,34.7,,,,,4.45,1999,4
2024-11-11 13:41:28,-0.118,-0.013,,32.7,34.8,,,,380,4.45,,4
2024-11-11 13:41:31,-0.119,-0.013,,32.7,34.8,,,,380,4.45,,4
2024-11-11 13:41:34,-0.119,-0.015,,32.7,34.8,,,,380,4.45,1999,4
2024-11-11 13:41:38,-0.118,-0.015,,32.6,34.8,,,,380,4.45,1999,4
2024-11-11 13:41:41,-0.119,-0.012,,32.5,34.8,,,,380,4.45,1999,4
2024-11-11 13:41:44,-0.118,-0.013,,32.5,34.8,,,,380,4.44,1999,4
2024-11-11 13:41:47,-0.119,-0.014,,32.5,34.8,,,,380,,1999,4
2024-11-11 13:41:50,-0.118,-0.013,,32.5,34.8,,,,,,1999,4
2024-11-11 13:41:53,-0.119,-0.011,,32.5,34.8,,,,,4.44,1999,4
2024-11-11 13:41:56,-0.12,-0.013,,32.4,34.8,,,,,4.44,1999,4
2024-11-11 13:41:59,-0.12,-0.013,,32.4,34.8,,,,380,4.45,1999,4
2024-11-11 13:42:03,-0.119,-0.013,,32.4,34.8,,,,380,4.45,1999,4
2024-11-11 13:42:06,-0.119,-0.013,,32.4,34.8,,,,380,4.45,1999,4
2024-11-11 13:42:09,-0.12,-0.013,,32.4,34.8,,,,380,4.45,1999,4
2024-11-11 13:42:12,-0.118,-0.016,,32.5,34.7,,,,380,4.45,1999,4
2024-11-11 13:42:15,-0.118,-0.014,,32.5,34.8,,,,,4.45,1999,4
2024-11-11 13:42:18,-0.119,-0.015,,32.5,34.7,,,,380,4.45,1999,4
2024-11-11 13:42:21,-0.118,-0.016,,32.5,34.8,,,,380,4.45,1999,4
2024-11-11 13:42:24,-0.119,-0.014,,32.5,34.7,,,,380,4.44,1999,4
2024-11-11 13:42:27,-0.119,-0.013,,32.5,34.8,,,,380,,1999,4
2024-11-11 13:42:30,-0.119,-0.014,,32.5,34.8,,,,380,,1999,4
2024-11-11 13:42:33,-0.119,-0.013,,32.5,34.8,,,,380,4.43,,4
2024-11-11 13:42:36,-0.12,-0.013,,32.5,34.7,,,,380,4.43,1999,4
2024-11-11 13:42:39,-0.119,-0.013,,32.5,34.7,,,,380,4.43,1999,
2024-11-11 13:42:42,-0.119,-0.012,,32.5,34.7,,,,380,4.44,1999,4
2024-11-11 13:42:45,-0.117,-0.014,,32.5,34.8,,,,,4.44,1999,4
2024-11-11 13:42:48,-0.119,-0.014,,32.5,34.7,,,,,4.44,1999,4
2024-11-11 13:42:51,-0.118,-0.014,,32.5,34.8,,,,380,4.44,,4
2024-11-11 13:42:54,-0.119,-0.013,,32.5,34.7,,,,380,4.43,1999,4
2024-11-11 13:42:57,-0.117,-0.014,,32.5,34.8,,,,380,4.43,1999,4
2024-11-11 13:43:00,-0.118,-0.016,,32.4,34.8,,,,380,4.43,1999,4
2024-11-11 13:43:03,-0.12,-0.014,,32.5,34.8,,,,380,4.43,1999,4
2024-11-11 13:43:06,-0.119,-0.017,,32.4,34.7,,,,380,4.43,1999,4
2024-11-11 13:43:09,-0.119,-0.015,,32.4,34.8,,,,380,4.43,1999,4
2024-11-11 13:43:13,-0.119,-0.017,,32.4,34.7,,,,,4.42,1999,4
2024-11-11 13:43:16,-0.118,-0.015,,32.4,34.6,,,,380,4.42,1999,4
2024-11-11 13:43:19,-0.121,-0.013,,32.4,34.8,,,,380,4.42,1999,4
2024-11-11 13:43:22,-0.117,-0.013,,32.4,34.7,,,,380,4.42,1999,4
2024-11-11 13:43:25,-0.122,-0.012,,32.5,34.7,,,,,4.42,1999,4
2024-11-11 13:43:28,-0.12,-0.013,,32.5,34.7,,,,,4.42,1999,4
2024-11-11 13:43:31,-0.118,-0.013,,32.5,34.7,,,,380,4.43,1999,4
2024-11-11 13:43:34,-0.121,-0.014,,32.6,34.8,,,,380,4.43,1999,4
2024-11-11 13:43:37,-0.12,-0.017,,32.6,34.7,,,,380,4.43,1999,4
2024-11-11 13:43:40,-0.122,-0.014,,32.6,34.7,,,,380,4.43,1999,4
2024-11-11 13:43:43,-0.122,-0.016,,32.6,34.7,,,,380,4.42,1999,4
2024-11-11 13:43:46,-0.12,-0.013,,32.7,34.7,,,,380,4.42,1999,4
2024-11-11 13:43:49,-0.118,-0.013,,32.8,34.7,,,,380,4.42,1999,4
2024-11-11 13:43:52,-0.119,-0.014,,32.9,34.7,,,,380,4.42,1999,4
2024-11-11 13:43:55,-0.118,-0.014,,32.9,34.7,,,,380,4.42,1999,4
2024-11-11 13:43:58,-0.119,-0.016,,32.8,34.6,,,,380,4.42,1999,4
2024-11-11 13:44:01,-0.119,-0.016,,32.8,34.7,,,,380,4.42,1999,4
2024-11-11 13:44:04,-0.117,-0.013,,32.8,34.6,,,,380,4.42,1999,4
2024-11-11 13:44:07,-0.119,-0.014,,32.7,34.7,,,,380,4.42,1999,4
2024-11-11 13:44:10,-0.118,-0.013,,32.7,34.7,,,,380,4.42,1999,4
2024-11-11 13:44:14,-0.119,-0.014,,32.7,34.7,,,,,4.42,1999,4
2024-11-11 13:44:17,-0.12,-0.014,,32.7,34.6,,,,,4.42,1999,4
2024-11-11 13:44:20,-0.12,-0.015,,32.7,34.6,,,,380,4.42,1999,4
2024-11-11 13:44:23,-0.119,-0.014,,32.6,34.7,,,,380,4.41,1999,4
2024-11-11 13:44:26,-0.122,-0.013,,32.6,34.6,,,,380,4.41,1999,4
2024-11-11 13:44:29,-0.118,-0.013,,32.6,34.6,,,,380,4.41,1999,4
2024-11-11 13:44:32,-0.118,-0.014,,32.7,34.6,,,,380,4.41,1999,4
2024-11-11 13:44:35,-0.12,-0.015,,32.7,34.7,,,,380,4.41,1999,4
2024-11-11 13:44:38,-0.119,-0.016,,32.7,34.6,,,,380,4.41,1999,4
2024-11-11 13:44:41,-0.118,-0.013,,32.7,34.6,,,,380,4.42,1999,4
2024-11-11 13:44:44,-0.119,-0.013,,32.7,34.6,,,,380,4.42,1999,
2024-11-11 13:44:47,-0.12,-0.016,,32.8,34.7,,,,380,4.42,1999,4
2024-11-11 13:44:50,-0.119,-0.014,,32.8,34.6,,,,380,4.42,1999,4
2024-11-11 13:44:53,-0.12,-0.013,,32.8,34.6,,,,380,4.42,1999,4
2024-11-11 13:44:56,-0.119,-0.014,,32.7,34.7,,,,380,4.42,1999,
2024-11-11 13:44:59,-0.12,-0.014,,32.7,34.6,,,,380,4.42,1999,
2024-11-11 13:45:02,-0.119,-0.014,,32.7,34.6,,,,380,4.42,1999,4
2024-11-11 13:45:05,-0.12,-0.014,,32.7,34.6,,,,380,4.41,1999,4
2024-11-11 13:45:08,-0.119,-0.016,,32.7,34.6,,,,,4.41,1999,4
2024-11-11 13:45:11,-0.119,-0.013,,32.7,34.6,,,,,4.41,1999,4
2024-11-11 13:45:14,-0.119,-0.016,,32.7,34.6,,,,380,4.41,1999,4
