DATE,SUCTION PRESSURE,DISCHARGE PRESSURE,AMBIENT TEMPO,FLUID TEMP,STATOR TEMPO,V_Z,V_X,TEMP_MB,VOLTAGE,CURRENT,RPM_MOTOR,STATUS_INV,LABEL,ESTATOR_NOVO
2024-11-12 07:40:08,-0.067,-0.088,23.9,23.6,24.9,0.19,0.2,23.41,,,,2.0,Unlabeled,False
2024-11-12 07:41:08,-0.112,-0.025,23.9,23.6,26.1,0.5,0.27,23.01,380.0,4.44,1999.0,4.0,Unlabeled,False
2024-11-12 07:42:08,-0.119,-0.014,24.1,23.6,27.6,0.45,0.32,22.32,380.0,4.39,1999.0,4.0,Unlabeled,False
2024-11-12 07:43:08,-0.118,-0.014,24.1,23.7,28.4,0.5,0.34,22.13,380.0,4.37,1999.0,4.0,Unlabeled,False
2024-11-12 07:44:08,-0.12,-0.012,24.2,23.8,28.9,0.47,0.32,22.02,380.0,4.36,1999.0,4.0,Unlabeled,False
2024-11-12 07:44:28,-0.115,-0.012,24.1,23.9,29.1,0.485,0.3,22.0,380.0,4.34,1999.0,4.0,Unlabeled,False
2024-11-12 07:45:28,-0.113,-0.01,24.6,23.9,29.4,0.5,0.26,21.9,203.4,5.9,886.0,0.0,Unlabeled,False
2024-11-12 07:45:31,-0.118,-0.009,24.6,23.9,29.4,0.36,0.21,21.89,203.4,5.9,886.0,0.0,Unlabeled,False
2024-11-12 07:45:34,-0.235,-0.014,24.6,23.9,29.3,0.31,0.45,21.89,266.2,5.9,1180.0,2.0,Unlabeled,False
2024-11-12 07:45:37,-0.404,-0.011,24.6,24.0,29.3,0.31,0.45,21.89,266.2,5.9,1180.0,2.0,Unlabeled,False
2024-11-12 07:45:40,-0.483,-0.012,24.6,23.9,29.3,0.31,0.45,21.89,266.2,5.9,1180.0,2.0,Unlabeled,False
2024-11-12 07:45:43,-0.397,-0.013,24.6,23.9,29.3,0.65,0.35,21.87,380.0,4.37,1180.0,2.0,Unlabeled,False
2024-11-12 07:45:46,-0.131,-0.013,24.5,24.0,29.3,0.65,0.35,21.87,380.0,4.37,1999.0,2.0,Unlabeled,False
2024-11-12 07:45:49,-0.131,-0.014,24.5,23.9,29.3,0.16,0.11,21.87,380.0,4.37,1999.0,2.0,Unlabeled,False
2024-11-12 07:45:52,-0.13,-0.014,24.5,23.9,29.3,0.13,0.11,21.87,380.0,4.37,0.0,0.0,Unlabeled,False
2024-11-12 07:45:55,-0.128,-0.013,24.5,24.0,29.2,0.13,0.13,21.86,0.0,0.0,0.0,0.0,Unlabeled,False
2024-11-12 07:45:58,-0.148,-0.01,24.5,24.0,29.2,0.13,0.13,21.846666666666668,0.0,0.0,0.0,0.0,Unlabeled,False
2024-11-12 07:46:01,-0.155,-0.015,24.5,23.9,29.1,0.41,0.29,21.833333333333332,0.0,0.0,0.0,0.0,Unlabeled,False
